cash_flow,own_supporting,user_other,trust_fund,exp_type,gov_level,desccription,year,value,mode,chained_value,estimate_actual,deflator
Revenue,Own,User-Based,Non-Trust Fund,-,State and local,Local motor fuel taxes used for highways,2012,2769402000,Highways,2925167151,Actual,94.939
Revenue,Own,User-Based,Non-Trust Fund,-,State and local,Local motor fuel taxes used for highways,2013,2989721000,Highways,3086482218,Actual,97.257
Revenue,Own,User-Based,Non-Trust Fund,-,State and local,Local motor fuel taxes used for highways,2014,3090749000,Highways,3149615310,Actual,98.431
Revenue,Own,User-Based,Non-Trust Fund,-,State and local,Local motor fuel taxes used for highways,2015,3272978000,Highways,3365357051,Actual,97.288
Revenue,Own,User-Based,Non-Trust Fund,-,State and local,Local motor fuel taxes used for highways,2016,3306811000,Highways,3401858939,Actual,97.085
Revenue,Own,User-Based,Non-Trust Fund,-,State and local,Local motor fuel taxes used for highways,2017,4068647000,Highways,4068647000,Actual,100
Revenue,Own,User-Based,Non-Trust Fund,-,State and local,Local motor fuel taxes used for highways,2018,4487841000,Highways,4293886162,Actual,104.756
Revenue,Own,User-Based,Non-Trust Fund,-,State and local,Local motor fuel taxes used for highways,2019,4556635000,Highways,4290737968,Actual,106.402
Revenue,Own,User-Based,Non-Trust Fund,-,State and local,Local motor fuel taxes used for highways,2020,4585353000,Highways,4298231159,Actual,106.875
Revenue,Own,User-Based,Non-Trust Fund,-,State and local,Local motor fuel taxes used for highways,2021,4601496000,Highways,3967046287,Actual,117.108
Revenue,Own,User-Based,Non-Trust Fund,-,State and local,Local toll revenue used for highways,2010,1777675000,Highways,2036959586,Actual,86.838
Revenue,Own,User-Based,Non-Trust Fund,-,State and local,Local toll revenue used for highways,2011,1726703000,Highways,1893335453,Actual,91.006
Revenue,Own,User-Based,Non-Trust Fund,-,State and local,Local toll revenue used for highways,2012,1715445000,Highways,1811930288,Actual,94.939
Revenue,Own,User-Based,Non-Trust Fund,-,State and local,Local toll revenue used for highways,2013,2024046000,Highways,2089553502,Actual,97.257
Revenue,Own,User-Based,Non-Trust Fund,-,State and local,Local toll revenue used for highways,2014,2070781000,Highways,2110221031,Actual,98.431
Revenue,Own,User-Based,Non-Trust Fund,-,State and local,Local toll revenue used for highways,2015,3569882000,Highways,3670641098,Actual,97.288
Revenue,Own,User-Based,Non-Trust Fund,-,State and local,Local toll revenue used for highways,2016,2904489000,Highways,2987972965,Actual,97.085
Revenue,Own,User-Based,Non-Trust Fund,-,State and local,Local toll revenue used for highways,2017,3070387000,Highways,3070387000,Actual,100
Revenue,Own,User-Based,Non-Trust Fund,-,State and local,Local toll revenue used for highways,2018,3198104000,Highways,3059888822,Actual,104.756
Revenue,Own,User-Based,Non-Trust Fund,-,State and local,Local toll revenue used for highways,2019,3285003000,Highways,3093310545,Actual,106.402
Revenue,Own,User-Based,Non-Trust Fund,-,State and local,Local toll revenue used for highways,2020,2443848000,Highways,2290821147,Actual,106.875
Revenue,Own,User-Based,Non-Trust Fund,-,State and local,Local toll revenue used for highways,2021,2132022000,Highways,1838060917,Actual,117.108
Revenue,Own,User-Based-Transit,Non-Trust Fund,-,State and local,Local toll revenue used for transit,2010,912572000,Highways,1045676112,Actual,86.838
Revenue,Own,User-Based-Transit,Non-Trust Fund,-,State and local,Local toll revenue used for transit,2011,1050999000,Highways,1152423820,Actual,91.006
Revenue,Own,User-Based-Transit,Non-Trust Fund,-,State and local,Local toll revenue used for transit,2012,1167015000,Highways,1232653816,Actual,94.939
Revenue,Own,User-Based-Transit,Non-Trust Fund,-,State and local,Local toll revenue used for transit,2013,1038115000,Highways,1071713209,Actual,97.257
Revenue,Own,User-Based-Transit,Non-Trust Fund,-,State and local,Local toll revenue used for transit,2014,1177232000,Highways,1199653524,Actual,98.431
Revenue,Own,User-Based-Transit,Non-Trust Fund,-,State and local,Local toll revenue used for transit,2015,53370000,Highways,54876355.97,Actual,97.288
Revenue,Own,User-Based-Transit,Non-Trust Fund,-,State and local,Local toll revenue used for transit,2016,74861000,Highways,77012735.84,Actual,97.085
Revenue,Own,User-Based-Transit,Non-Trust Fund,-,State and local,Local toll revenue used for transit,2017,815933000,Highways,815933000,Actual,100
Revenue,Own,User-Based-Transit,Non-Trust Fund,-,State and local,Local toll revenue used for transit,2018,702311000,Highways,671958628.7,Actual,104.756
Revenue,Own,User-Based-Transit,Non-Trust Fund,-,State and local,Local toll revenue used for transit,2019,791648000,Highways,745452319.7,Actual,106.402
Revenue,Own,User-Based-Transit,Non-Trust Fund,-,State and local,Local toll revenue used for transit,2020,791097000,Highways,741560742.4,Actual,106.875
Revenue,Own,User-Based-Transit,Non-Trust Fund,-,State and local,Local toll revenue used for transit,2021,928734000,Highways,800681075.6,Actual,117.108
Revenue,Own,User-Based,Non-Trust Fund,-,State and local,State and local parking revenues,2010,3226373000,Highways,3696958898,Actual,86.838
Revenue,Own,User-Based,Non-Trust Fund,-,State and local,State and local parking revenues,2011,2178147000,Highways,2388345267,Actual,91.006
Revenue,Own,User-Based,Non-Trust Fund,-,State and local,State and local parking revenues,2012,2581419000,Highways,2726611038,Actual,94.939
Revenue,Own,User-Based,Non-Trust Fund,-,State and local,State and local parking revenues,2013,2740302000,Highways,2828990864,Actual,97.257
Revenue,Own,User-Based,Non-Trust Fund,-,State and local,State and local parking revenues,2014,2908802000,Highways,2964202953,Actual,98.431
Revenue,Own,User-Based,Non-Trust Fund,-,State and local,State and local parking revenues,2015,3004054000,Highways,3088842733,Actual,97.288
Revenue,Own,User-Based,Non-Trust Fund,-,State and local,State and local parking revenues,2016,3106890000,Highways,3196191593,Actual,97.085
Revenue,Own,User-Based,Non-Trust Fund,-,State and local,State and local parking revenues,2017,3279642000,Highways,3279642000,Actual,100
Revenue,Own,User-Based,Non-Trust Fund,-,State and local,State and local parking revenues,2018,3188984000,Highways,3051162969,Actual,104.756
Revenue,Own,User-Based,Non-Trust Fund,-,State and local,State and local parking revenues,2019,3344623000,Highways,3149451491,Actual,106.402
Revenue,Own,User-Based,Non-Trust Fund,-,State and local,State and local parking revenues,2020,3064962000,Highways,2873042745,Actual,106.875
Revenue,Own,User-Based,Non-Trust Fund,-,State and local,State and local parking revenues,2021,2356403000,Highways,2031504487,Actual,117.108
Revenue,Supporting,Other,Trust Fund,-,Federal,HTF receipts from federal general and other fund liquidity transfers,2010,14700000000,Highways,16844083372,Actual,89.756
Revenue,Supporting,Other,Trust Fund,-,Federal,HTF receipts from federal general and other fund liquidity transfers,2011,0,Highways,0,Actual,92.191
Revenue,Supporting,Other,Trust Fund,-,Federal,HTF receipts from federal general and other fund liquidity transfers,2012,2400000000,Highways,2534988117,Actual,92.944
Revenue,Supporting,Other,Trust Fund,-,Federal,HTF receipts from federal general and other fund liquidity transfers,2013,5883800000,Highways,6074227017,Actual,94.354
Revenue,Supporting,Other,Trust Fund,-,Federal,HTF receipts from federal general and other fund liquidity transfers,2014,18416200000,Highways,18766954377,Actual,96.197
Revenue,Supporting,Other,Trust Fund,-,Federal,HTF receipts from federal general and other fund liquidity transfers,2015,6068000000,Highways,6239267904,Actual,97.039
Revenue,Supporting,Other,Trust Fund,-,Federal,HTF receipts from federal general and other fund liquidity transfers,2016,52000000000,Highways,53494640249,Actual,97.996
Revenue,Supporting,Other,Trust Fund,-,Federal,HTF receipts from federal general and other fund liquidity transfers,2017,93100000,Highways,93100000,Actual,100
Revenue,Supporting,Other,Trust Fund,-,Federal,HTF receipts from federal general and other fund liquidity transfers,2018,93400000,Highways,89363452.84,Actual,102.965
Revenue,Supporting,Other,Trust Fund,-,Federal,HTF receipts from federal general and other fund liquidity transfers,2019,0,Highways,0,Actual,104.87
Revenue,Supporting,Other,Trust Fund,-,Federal,HTF receipts from federal general and other fund liquidity transfers,2020,0,Highways,0,Actual,105.425
Revenue,Supporting,Other,Trust Fund,-,Federal,HTF receipts from federal general and other fund liquidity transfers,2021,10400000000,Highways,8966058297,Actual,108.67
Revenue,Supporting,Other,Trust Fund,-,Federal,HTF receipts from federal general and other fund liquidity transfers,2022,90000000000,Highways,70623685615,Actual,114.265
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,Non-HTF transfers to S&L from FHWA (General Fund Grants),2010,12795100000,Highways,14661342256,Actual,89.756
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,Non-HTF transfers to S&L from FHWA (General Fund Grants),2011,8703800000,Highways,9543744997,Actual,92.191
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,Non-HTF transfers to S&L from FHWA (General Fund Grants),2012,4354100000,Highways,4598996567,Actual,92.944
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,Non-HTF transfers to S&L from FHWA (General Fund Grants),2013,2187400000,Highways,2258194394,Actual,94.354
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,Non-HTF transfers to S&L from FHWA (General Fund Grants),2014,1589500000,Highways,1619773568,Actual,96.197
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,Non-HTF transfers to S&L from FHWA (General Fund Grants),2015,948100000,Highways,974859904.4,Actual,97.039
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,Non-HTF transfers to S&L from FHWA (General Fund Grants),2016,634200000,Highways,652428862.4,Actual,97.996
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,Non-HTF transfers to S&L from FHWA (General Fund Grants),2017,571500000,Highways,571500000,Actual,100
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,Non-HTF transfers to S&L from FHWA (General Fund Grants),2018,1350200000,Highways,1291847259,Actual,102.965
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,Non-HTF transfers to S&L from FHWA (General Fund Grants),2019,1536900000,Highways,1447216023,Actual,104.87
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,Non-HTF transfers to S&L from FHWA (General Fund Grants),2020,2019100000,Highways,1892669666,Actual,105.425
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,Non-HTF transfers to S&L from FHWA (General Fund Grants),2021,3987800000,Highways,3437966084,Actual,108.67
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,Non-HTF transfers to S&L from FHWA (General Fund Grants),2022,5974000000,Highways,4687843310,Actual,114.265
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,"General funds used for highways, administered by other agencies",2010,2057600000,Highways,2357713330,Actual,89.756
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,"General funds used for highways, administered by other agencies",2011,1919700000,Highways,2104957291,Actual,92.191
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,"General funds used for highways, administered by other agencies",2012,1701700000,Highways,1797412200,Actual,92.944
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,"General funds used for highways, administered by other agencies",2013,1774800000,Highways,1832240747,Actual,94.354
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,"General funds used for highways, administered by other agencies",2014,1608300000,Highways,1638931632,Actual,96.197
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,"General funds used for highways, administered by other agencies",2015,1557300000,Highways,1601254434,Actual,97.039
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,"General funds used for highways, administered by other agencies",2016,3930500000,Highways,4043474683,Actual,97.996
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,"General funds used for highways, administered by other agencies",2017,2684400000,Highways,2684400000,Actual,100
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,"General funds used for highways, administered by other agencies",2018,3131400000,Highways,2996067625,Actual,102.965
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,"General funds used for highways, administered by other agencies",2019,5663000000,Highways,5332542351,Actual,104.87
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,"General funds used for highways, administered by other agencies",2020,5633400000,Highways,5280652418,Actual,105.425
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,"General funds used for highways, administered by other agencies",2021,6828700000,Highways,5887165605,Actual,108.67
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,"General funds used for highways, administered by other agencies",2022,5347800000,Highways,4196459399,Actual,114.265
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,"Other federal receipts used for highways, administered by other agencies",2010,624650000,Highways,715758957.7,Actual,89.756
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,"Other federal receipts used for highways, administered by other agencies",2011,386430000,Highways,423721751.3,Actual,92.191
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,"Other federal receipts used for highways, administered by other agencies",2012,407310000,Highways,430219170.8,Actual,92.944
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,"Other federal receipts used for highways, administered by other agencies",2013,372000000,Highways,384039642.8,Actual,94.354
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,"Other federal receipts used for highways, administered by other agencies",2014,427510000,Highways,435652342.3,Actual,96.197
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,"Other federal receipts used for highways, administered by other agencies",2015,331170000,Highways,340517197.1,Actual,97.039
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,"Other federal receipts used for highways, administered by other agencies",2016,105600000,Highways,108635269.4,Actual,97.996
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,"Other federal receipts used for highways, administered by other agencies",2017,70000000,Highways,70000000,Actual,100
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,"Other federal receipts used for highways, administered by other agencies",2018,74550000,Highways,71328109.3,Actual,102.965
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,"Other federal receipts used for highways, administered by other agencies",2019,50100000,Highways,47176473.91,Actual,104.87
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,"Other federal receipts used for highways, administered by other agencies",2020,106900000,Highways,100206224.2,Actual,105.425
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,"Other federal receipts used for highways, administered by other agencies",2021,88400000,Highways,76211495.52,Actual,108.67
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,"Other federal receipts used for highways, administered by other agencies",2022,66200000,Highways,51947644.31,Actual,114.265
Revenue,Supporting,Other,Non-Trust Fund,-,State and local,State general funds,2010,7229284000,Highways,8283718532,Actual,86.838
Revenue,Supporting,Other,Non-Trust Fund,-,State and local,State general funds,2011,6215102000,Highways,6814879549,Actual,91.006
Revenue,Supporting,Other,Non-Trust Fund,-,State and local,State general funds,2012,6657531000,Highways,7031984156,Actual,94.939
Revenue,Supporting,Other,Non-Trust Fund,-,State and local,State general funds,2013,7324978000,Highways,7562048211,Actual,97.257
Revenue,Supporting,Other,Non-Trust Fund,-,State and local,State general funds,2014,9644053000,Highways,9827733336,Actual,98.431
Revenue,Supporting,Other,Non-Trust Fund,-,State and local,State general funds,2015,6866729000,Highways,7060540846,Actual,97.288
Revenue,Supporting,Other,Non-Trust Fund,-,State and local,State general funds,2016,6911912000,Highways,7110581651,Actual,97.085
Revenue,Supporting,Other,Non-Trust Fund,-,State and local,State general funds,2017,5586850000,Highways,5586850000,Actual,100
Revenue,Supporting,Other,Non-Trust Fund,-,State and local,State general funds,2018,8079823000,Highways,7730630424,Actual,104.756
Revenue,Supporting,Other,Non-Trust Fund,-,State and local,State general funds,2019,7864963000,Highways,7406012411,Actual,106.402
Revenue,Supporting,Other,Non-Trust Fund,-,State and local,State general funds,2020,7066883000,Highways,6624374766,Actual,106.875
Revenue,Supporting,Other,Non-Trust Fund,-,State and local,State general funds,2021,8249462000,Highways,7112034347,Actual,117.108
Revenue,Supporting,Other,Non-Trust Fund,-,State and local,State general funds,2022,8735886000,Highways,6855116294,Actual,129.519
Revenue,Supporting,Other,Non-Trust Fund,-,State and local,Other state funds,2010,6648010000,Highways,7617662225,Actual,86.838
Revenue,Supporting,Other,Non-Trust Fund,-,State and local,Other state funds,2011,8668791000,Highways,9505357515,Actual,91.006
Revenue,Supporting,Other,Non-Trust Fund,-,State and local,Other state funds,2012,8919644000,Highways,9421329813,Actual,94.939
Revenue,Supporting,Other,Non-Trust Fund,-,State and local,Other state funds,2013,9101728000,Highways,9396302070,Actual,97.257
Revenue,Supporting,Other,Non-Trust Fund,-,State and local,Other state funds,2014,10328694000,Highways,10525413987,Actual,98.431
Revenue,Supporting,Other,Non-Trust Fund,-,State and local,Other state funds,2015,10926206000,Highways,11234595651,Actual,97.288
Revenue,Supporting,Other,Non-Trust Fund,-,State and local,Other state funds,2016,12239772000,Highways,12591580767,Actual,97.085
Revenue,Supporting,Other,Non-Trust Fund,-,State and local,Other state funds,2017,12007459000,Highways,12007459000,Actual,100
Revenue,Supporting,Other,Non-Trust Fund,-,State and local,Other state funds,2018,12675407000,Highways,12127603165,Actual,104.756
Revenue,Supporting,Other,Non-Trust Fund,-,State and local,Other state funds,2019,19216420000,Highways,18095068599,Actual,106.402
Revenue,Supporting,Other,Non-Trust Fund,-,State and local,Other state funds,2020,21122650000,Highways,19800009374,Actual,106.875
Revenue,Supporting,Other,Non-Trust Fund,-,State and local,Other state funds,2021,20702327000,Highways,17847910650,Actual,117.108
Revenue,Supporting,Other,Non-Trust Fund,-,State and local,Other state funds,2022,22448163000,Highways,17615244515,Actual,129.519
Revenue,Supporting,Other,Non-Trust Fund,-,State and local,Other state funds,2010,8249924000,Highways,9453225012,Actual,86.838
Revenue,Supporting,Other,Non-Trust Fund,-,State and local,Other state funds,2011,8528336000,Highways,9351348151,Actual,91.006
Revenue,Supporting,Other,Non-Trust Fund,-,State and local,Other state funds,2012,11577371000,Highways,12228540797,Actual,94.939
Revenue,Supporting,Other,Non-Trust Fund,-,State and local,Other state funds,2013,12274907000,Highways,12672179838,Actual,97.257
Revenue,Supporting,Other,Non-Trust Fund,-,State and local,Other state funds,2014,10132398000,Highways,10325379340,Actual,98.431
Revenue,Supporting,Other,Non-Trust Fund,-,State and local,Other state funds,2015,12143793000,Highways,12486548764,Actual,97.288
Revenue,Supporting,Other,Non-Trust Fund,-,State and local,Other state funds,2016,12490951000,Highways,12849979425,Actual,97.085
Revenue,Supporting,Other,Non-Trust Fund,-,State and local,Other state funds,2017,10574845000,Highways,10574845000,Actual,100
Revenue,Supporting,Other,Non-Trust Fund,-,State and local,Other state funds,2018,12882618000,Highways,12325858951,Actual,104.756
Revenue,Supporting,Other,Non-Trust Fund,-,State and local,Other state funds,2019,12585344000,Highways,11850941175,Actual,106.402
Revenue,Supporting,Other,Non-Trust Fund,-,State and local,Other state funds,2020,12198641000,Highways,11434796588,Actual,106.875
Revenue,Supporting,Other,Non-Trust Fund,-,State and local,Other state funds,2021,13463774000,Highways,11607402171,Actual,117.108
Revenue,Supporting,Other,Non-Trust Fund,-,State and local,Other state funds,2022,16034635000,Highways,12582500235,Actual,129.519
Revenue,Supporting,Other,Non-Trust Fund,-,State and local,Local general funds,2010,25101695000,Highways,28762928120,Actual,86.838
Revenue,Supporting,Other,Non-Trust Fund,-,State and local,Local general funds,2011,31434441000,Highways,34467966754,Actual,91.006
Revenue,Supporting,Other,Non-Trust Fund,-,State and local,Local general funds,2012,26859876000,Highways,28370611038,Actual,94.939
Revenue,Supporting,Other,Non-Trust Fund,-,State and local,Local general funds,2013,37490132000,Highways,38703486295,Actual,97.257
Revenue,Supporting,Other,Non-Trust Fund,-,State and local,Local general funds,2014,39216120000,Highways,39963029012,Actual,98.431
Revenue,Supporting,Other,Non-Trust Fund,-,State and local,Local general funds,2015,18324461000,Highways,18841664696,Actual,97.288
Revenue,Supporting,Other,Non-Trust Fund,-,State and local,Local general funds,2016,27969906000,Highways,28773847293,Actual,97.085
Revenue,Supporting,Other,Non-Trust Fund,-,State and local,Local general funds,2017,26870521000,Highways,26870521000,Actual,100
Revenue,Supporting,Other,Non-Trust Fund,-,State and local,Local general funds,2018,25167295000,Highways,24079618627,Actual,104.756
Revenue,Supporting,Other,Non-Trust Fund,-,State and local,Local general funds,2019,25233012000,Highways,23760569508,Actual,106.402
Revenue,Supporting,Other,Non-Trust Fund,-,State and local,Local general funds,2020,25643345000,Highways,24037631234,Actual,106.875
Revenue,Supporting,Other,Non-Trust Fund,-,State and local,Local general funds,2021,26142180000,Highways,22537722104,Actual,117.108
Revenue,Supporting,Other,Non-Trust Fund,-,State and local,Local property taxes,2010,10058216000,Highways,11525267271,Actual,86.838
Revenue,Supporting,Other,Non-Trust Fund,-,State and local,Local property taxes,2011,10552926000,Highways,11571317668,Actual,91.006
Revenue,Supporting,Other,Non-Trust Fund,-,State and local,Local property taxes,2012,10125518000,Highways,10695028255,Actual,94.939
Revenue,Supporting,Other,Non-Trust Fund,-,State and local,Local property taxes,2013,13011756000,Highways,13432876684,Actual,97.257
Revenue,Supporting,Other,Non-Trust Fund,-,State and local,Local property taxes,2014,12846917000,Highways,13091598985,Actual,98.431
Revenue,Supporting,Other,Non-Trust Fund,-,State and local,Local property taxes,2015,12459740000,Highways,12811413295,Actual,97.288
Revenue,Supporting,Other,Non-Trust Fund,-,State and local,Local property taxes,2016,12012019000,Highways,12357281444,Actual,97.085
Revenue,Supporting,Other,Non-Trust Fund,-,State and local,Local property taxes,2017,11631440000,Highways,11631440000,Actual,100
Revenue,Supporting,Other,Non-Trust Fund,-,State and local,Local property taxes,2018,11742651000,Highways,11235158874,Actual,104.756
Revenue,Supporting,Other,Non-Trust Fund,-,State and local,Local property taxes,2019,11758182000,Highways,11072047233,Actual,106.402
Revenue,Supporting,Other,Non-Trust Fund,-,State and local,Local property taxes,2020,11820345000,Highways,11080188414,Actual,106.875
Revenue,Supporting,Other,Non-Trust Fund,-,State and local,Local property taxes,2021,12241054000,Highways,10553269594,Actual,117.108
Revenue,Supporting,Other,Non-Trust Fund,-,State and local,Other local funds,2010,5398455000,Highways,6185852116,Actual,86.838
Revenue,Supporting,Other,Non-Trust Fund,-,State and local,Other local funds,2011,5412581000,Highways,5934912664,Actual,91.006
Revenue,Supporting,Other,Non-Trust Fund,-,State and local,Other local funds,2012,5788830000,Highways,6114423026,Actual,94.939
Revenue,Supporting,Other,Non-Trust Fund,-,State and local,Other local funds,2013,6528924000,Highways,6740230217,Actual,97.257
Revenue,Supporting,Other,Non-Trust Fund,-,State and local,Other local funds,2014,6674534000,Highways,6801656969,Actual,98.431
Revenue,Supporting,Other,Non-Trust Fund,-,State and local,Other local funds,2015,8745917000,Highways,8992768495,Actual,97.288
Revenue,Supporting,Other,Non-Trust Fund,-,State and local,Other local funds,2016,7260825000,Highways,7469523486,Actual,97.085
Revenue,Supporting,Other,Non-Trust Fund,-,State and local,Other local funds,2017,9045478000,Highways,9045478000,Actual,100
Revenue,Supporting,Other,Non-Trust Fund,-,State and local,Other local funds,2018,9072440000,Highways,8680348651,Actual,104.756
Revenue,Supporting,Other,Non-Trust Fund,-,State and local,Other local funds,2019,9157995000,Highways,8623591062,Actual,106.402
Revenue,Supporting,Other,Non-Trust Fund,-,State and local,Other local funds,2020,9823398000,Highways,9208284589,Actual,106.875
Revenue,Supporting,Other,Non-Trust Fund,-,State and local,Other local funds,2021,9633025000,Highways,8304833050,Actual,117.108
Revenue,Supporting,Other,Non-Trust Fund,-,State and local,Other local funds,2010,7412481000,Highways,8493635916,Actual,86.838
Revenue,Supporting,Other,Non-Trust Fund,-,State and local,Other local funds,2011,7018176000,Highways,7695452801,Actual,91.006
Revenue,Supporting,Other,Non-Trust Fund,-,State and local,Other local funds,2012,6999439000,Highways,7393122788,Actual,94.939
Revenue,Supporting,Other,Non-Trust Fund,-,State and local,Other local funds,2013,7320985000,Highways,7557925979,Actual,97.257
Revenue,Supporting,Other,Non-Trust Fund,-,State and local,Other local funds,2014,7754403000,Highways,7902093120,Actual,98.431
Revenue,Supporting,Other,Non-Trust Fund,-,State and local,Other local funds,2015,8600209000,Highways,8842947920,Actual,97.288
Revenue,Supporting,Other,Non-Trust Fund,-,State and local,Other local funds,2016,7809348000,Highways,8033812728,Actual,97.085
Revenue,Supporting,Other,Non-Trust Fund,-,State and local,Other local funds,2017,8424157000,Highways,8424157000,Actual,100
Revenue,Supporting,Other,Non-Trust Fund,-,State and local,Other local funds,2018,9116928000,Highways,8722913976,Actual,104.756
Revenue,Supporting,Other,Non-Trust Fund,-,State and local,Other local funds,2019,9164279000,Highways,8629508367,Actual,106.402
Revenue,Supporting,Other,Non-Trust Fund,-,State and local,Other local funds,2020,8981064000,Highways,8418695163,Actual,106.875
Revenue,Supporting,Other,Non-Trust Fund,-,State and local,Other local funds,2021,9972859000,Highways,8597811075,Actual,117.108
Expenditure,-,-,Trust Fund,Capital,Federal,HTF direct capital outlays,2010,311400000,Highways,356819562.1,Actual,89.756
Expenditure,-,-,Trust Fund,Capital,Federal,HTF direct capital outlays,2011,806200000,Highways,884000921.1,Actual,92.191
Expenditure,-,-,Trust Fund,Capital,Federal,HTF direct capital outlays,2012,804800000,Highways,850066015.3,Actual,92.944
Expenditure,-,-,Trust Fund,Capital,Federal,HTF direct capital outlays,2013,634000000,Highways,654519176.2,Actual,94.354
Expenditure,-,-,Trust Fund,Capital,Federal,HTF direct capital outlays,2014,276600000,Highways,281868115.1,Actual,96.197
Expenditure,-,-,Trust Fund,Capital,Federal,HTF direct capital outlays,2015,250600000,Highways,257673127.3,Actual,97.039
Expenditure,-,-,Trust Fund,Capital,Federal,HTF direct capital outlays,2016,79600000,Highways,81887949.3,Actual,97.996
Expenditure,-,-,Trust Fund,Capital,Federal,HTF direct capital outlays,2017,39800000,Highways,39800000,Actual,100
Expenditure,-,-,Trust Fund,Capital,Federal,HTF direct capital outlays,2018,1400000,Highways,1339495.01,Actual,102.965
Expenditure,-,-,Trust Fund,Capital,Federal,HTF direct capital outlays,2019,700000,Highways,659152.3301,Actual,104.87
Expenditure,-,-,Trust Fund,Capital,Federal,HTF direct capital outlays,2020,100000,Highways,93738.28271,Actual,105.425
Expenditure,-,-,Trust Fund,Capital,Federal,HTF direct capital outlays,2021,100000,Highways,86212.09901,Actual,108.67
Expenditure,-,-,Trust Fund,Capital,Federal,HTF direct capital outlays,2022,700000,Highways,549295.3326,Actual,114.265
Expenditure,-,-,Trust Fund,Non-Capital,Federal,HTF direct O&M outlays,2010,1406100000,Highways,1611188138,Actual,89.756
Expenditure,-,-,Trust Fund,Non-Capital,Federal,HTF direct O&M outlays,2011,3375000000,Highways,3700698473,Actual,92.191
Expenditure,-,-,Trust Fund,Non-Capital,Federal,HTF direct O&M outlays,2012,2095300000,Highways,2213150251,Actual,92.944
Expenditure,-,-,Trust Fund,Non-Capital,Federal,HTF direct O&M outlays,2013,2536600000,Highways,2618696123,Actual,94.354
Expenditure,-,-,Trust Fund,Non-Capital,Federal,HTF direct O&M outlays,2014,3478700000,Highways,3544955213,Actual,96.197
Expenditure,-,-,Trust Fund,Non-Capital,Federal,HTF direct O&M outlays,2015,2783900000,Highways,2862474937,Actual,97.039
Expenditure,-,-,Trust Fund,Non-Capital,Federal,HTF direct O&M outlays,2016,5512400000,Highways,5670843364,Actual,97.996
Expenditure,-,-,Trust Fund,Non-Capital,Federal,HTF direct O&M outlays,2017,2939100000,Highways,2939100000,Actual,100
Expenditure,-,-,Trust Fund,Non-Capital,Federal,HTF direct O&M outlays,2018,2021100000,Highways,1933752404,Actual,102.965
Expenditure,-,-,Trust Fund,Non-Capital,Federal,HTF direct O&M outlays,2019,1745900000,Highways,1644020076,Actual,104.87
Expenditure,-,-,Trust Fund,Non-Capital,Federal,HTF direct O&M outlays,2020,1323400000,Highways,1240532433,Actual,105.425
Expenditure,-,-,Trust Fund,Non-Capital,Federal,HTF direct O&M outlays,2021,1012700000,Highways,873069926.6,Actual,108.67
Expenditure,-,-,Trust Fund,Non-Capital,Federal,HTF direct O&M outlays,2022,791300000,Highways,620939138.1,Actual,114.265
Expenditure,-,-,Trust Fund,Capital,Federal,Other agency capital outlays of HTF funds,2010,392900000,Highways,450206827,Actual,89.756
Expenditure,-,-,Trust Fund,Capital,Federal,Other agency capital outlays of HTF funds,2011,996400000,Highways,1092555839,Actual,92.191
